time,snowfraction,wind_speed,temperature,precipitation_probability,convective_precipitation,rainspot,pictocode,felttemperature,precipitation,is_daylight,uvindex,humidity,pressure,wind_direction,totalcloudcover,fog_probability,highclouds,lowclouds,visibility,midclouds,sunshinetime,hour,month,ghi_clearsky,dni_clearsky,dhi_clearsky,ghi,dni,dhi,gti,module_temperature,power_physics
2025-04-28 02:00:00+02:00,0.0,1.74,15.65,0,0.0,0000000000000000000000000000000000000000000000000,14,15.47,0.0,0,0,85,1019.73,93,12,0,42,0,16450,0,0,2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.65,0.0
2025-04-28 03:00:00+02:00,0.0,2.29,15.04,0,0.0,0000000000000000000000000000000000000000000000000,11,14.08,0.0,0,0,82,1019.8,93,56,0,17,56,18660,0,0,3,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.04,0.0
2025-04-28 04:00:00+02:00,0.0,2.66,14.38,0,0.0,0000000000000000000000000000000000000000000000000,4,12.94,0.0,0,0,81,1019.87,88,20,0,0,20,19460,0,0,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.38,0.0
2025-04-28 05:00:00+02:00,0.0,2.49,13.75,0,0.0,0000000000000000000000000000000000000000000000000,13,12.25,0.0,0,0,82,1020.05,84,0,0,0,0,17380,0,0,5,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.75,0.0
2025-04-28 06:00:00+02:00,0.0,2.13,13.28,0,0.0,0000000000000000000000000000000000000000000000000,13,11.85,0.0,0,0,81,1020.23,80,0,0,0,0,14850,0,0,6,4,3.6500635724048527,17.03734513969679,2.996430528393434,3.6500635724048527,17.03734513969679,2.996430528393434,2.9335928133132523,13.369236724532245,0.0
2025-04-28 07:00:00+02:00,0.0,2.14,13.04,0,0.0,0000000000000000000000000000000000000000000000000,4,11.49,0.0,0,0,80,1020.41,78,35,0,3,35,12200,15,0,7,4,146.30259323365848,415.6440549121797,52.31848402390065,95.09668560187802,270.1686356929168,34.007014615535425,78.73998192512711,15.433903151169218,0.0
2025-04-28 08:00:00+02:00,0.0,2.22,12.98,0,0.0,0000000000000000000000000000000000000000000000000,13,11.41,0.0,1,0,81,1020.68,75,0,2,2,0,10020,0,16,8,4,347.3845725676902,644.4272784793061,81.45169153117467,347.3845725676902,644.4272784793061,81.45169153117467,337.92098357436055,23.209790486258072,19.42719618167203
2025-04-28 09:00:00+02:00,0.0,2.15,13.73,0,0.0,0000000000000000000000000000000000000000000000000,13,12.35,0.0,1,0,80,1020.94,79,0,0,1,0,15610,0,59,9,4,539.206591336312,755.1112200335451,99.41834735573445,539.206591336312,755.1112200335451,99.41834735573445,559.2587912651952,30.723842024020716,31.526756395881517
2025-04-28 10:00:00+02:00,0.0,2.46,15.24,0,0.0,0000000000000000000000000000000000000000000000000,1,13.71,0.0,1,0,73,1021.21,83,0,0,0,0,22220,0,60,10,4,700.9504220040766,814.3892911885797,111.69930394621053,700.9504220040766,814.3892911885797,111.69930394621053,750.3948864081896,37.66681753922553,41.52640314170329
2025-04-28 11:00:00+02:00,0.0,2.72,17.31,0,0.0,0000000000000000000000000000000000000000000000000,1,15.49,0.0,1,1,63,1021.19,84,0,0,0,0,28010,0,60,11,4,819.4878868348217,846.6828772228707,119.79218624129669,819.4878868348217,846.6828772228707,119.79218624129669,891.9175962647182,43.59894971294573,48.570981388781796
